CZ1	CZ2	CZ3	CZ4	CZ5	CZ6	PP1	PP2	PP3	WT1	WT2	WT3	WT4	WT5	WT6	SF1	SF2	SF3	SF4	HZ1	HZ2	HZ3	HZ4
5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	3	5	5	5
5	5	5	5	5	5	5	4	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
5	5	3	4	4	3	4	5	4	5	5	3	5	5	5	5	5	5	5	3	3	3	3
5	4	4	4	4	5	4	5	5	4	4	4	4	5	4	4	4	4	5	5	5	5	5
5	5	5	5	5	5	4	5	5	4	3	5	5	3	3	5	5	5	5	5	5	5	5
5	5	4	4	5	5	5	4	4	5	5	5	5	5	5	4	4	5	5	5	5	5	5
4	3	3	4	4	4	3	4	4	3	5	5	4	5	4	4	5	5	3	4	5	5	5
3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
5	5	5	5	5	5	5	3	5	5	5	5	5	5	5	5	4	5	4	5	5	5	5
5	5	5	5	5	5	5	5	5	5	5	4	5	5	5	5	5	5	5	5	5	5	5
3	4	3	3	5	4	4	5	5	4	5	4	5	3	4	5	5	3	3	5	5	4	4
4	3	3	5	5	3	4	5	5	5	3	5	3	5	5	5	4	3	5	5	2	5	5
5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
4	4	4	4	4	3	4	4	4	3	3	3	4	3	4	3	4	3	4	3	4	3	3
5	4	5	4	4	5	5	5	5	5	4	5	5	5	5	5	5	4	4	5	5	5	5
5	4	5	5	5	5	5	4	5	5	4	5	5	4	3	3	5	3	3	5	4	4	3
5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
4	4	4	4	4	4	4	4	4	3	3	4	3	4	4	3	4	4	3	3	3	3	4
4	4	3	4	4	4	4	2	4	4	4	4	4	4	3	5	3	3	3	4	4	4	3
5	4	4	4	4	3	5	5	4	4	3	5	4	5	4	3	5	3	4	5	5	5	5
4	3	4	4	3	4	4	3	5	5	5	3	4	2	5	3	3	3	3	4	5	5	5
5	3	4	3	3	5	5	5	5	3	3	5	3	3	4	3	4	3	4	5	4	5	4
5	4	3	4	4	3	5	5	5	5	5	4	5	5	5	5	5	4	3	4	5	4	4
5	3	3	4	3	5	3	4	5	3	3	5	5	5	2	4	3	4	2	4	5	4	5
3	4	3	4	3	3	4	3	4	4	3	3	4	3	3	4	3	4	4	3	4	4	3
4	3	3	3	3	4	3	5	3	4	3	3	4	4	5	3	3	5	2	5	5	4	4
4	3	3	4	3	3	4	5	4	3	4	4	5	4	3	3	3	3	3	4	4	4	3
4	5	4	4	3	4	3	5	5	4	3	5	3	3	3	4	4	4	3	4	5	4	4
4	4	4	3	4	4	3	4	5	4	4	4	4	4	4	4	5	3	3	5	5	5	3
4	4	4	5	4	4	3	4	2	3	3	5	4	3	3	3	3	3	2	4	3	5	4
5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
5	4	4	4	4	4	5	5	5	5	4	5	4	5	5	3	3	4	4	4	3	5	5
5	4	4	4	5	4	4	5	4	5	5	5	4	5	5	3	5	5	2	5	5	4	5
5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
5	5	5	3	4	5	5	4	4	5	5	5	4	5	4	5	5	4	4	5	4	5	5
4	3	4	5	4	4	4	4	4	4	3	4	4	3	4	4	3	4	4	4	4	4	5
5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
4	5	5	5	5	5	4	4	5	4	4	5	4	4	5	5	5	4	5	5	4	5	4
2	2	3	2	3	2	3	4	4	3	3	3	3	3	3	2	1	2	2	2	2	2	2
4	3	3	5	5	5	3	3	5	5	5	5	5	5	5	5	4	4	3	3	5	5	5
4	2	3	4	4	3	5	5	5	5	2	4	5	5	4	4	3	3	3	2	2	3	4
5	5	5	5	5	5	5	4	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
4	4	3	3	4	5	3	5	5	5	3	4	5	4	5	2	3	3	2	4	3	4	4
5	5	4	5	4	5	5	5	5	5	4	5	4	4	5	5	5	4	4	5	5	5	5
3	4	4	5	4	4	4	4	4	4	4	5	4	4	5	4	4	4	4	4	4	4	4
4	4	3	4	2	3	3	3	5	2	4	4	4	5	3	3	4	5	4	4	3	4	5
5	4	3	3	4	4	5	5	5	3	4	4	3	3	4	3	4	3	3	5	5	5	5
5	5	4	5	3	5	4	5	5	5	5	5	5	5	5	5	5	4	5	5	5	5	4
3	5	5	3	4	3	4	5	3	5	3	5	4	4	5	5	5	4	4	5	4	3	5
5	5	4	3	5	5	5	4	5	4	5	5	5	5	4	5	4	5	3	5	5	5	5
4	5	4	3	4	3	5	5	5	3	5	4	5	3	3	3	3	4	4	5	4	4	5
4	3	4	3	3	4	4	4	5	4	4	4	5	5	4	4	4	4	3	5	5	5	5
2	2	1	1	2	5	4	5	5	2	1	2	3	2	3	5	5	3	5	3	4	5	5
4	3	4	5	5	3	5	5	5	5	4	4	3	5	3	5	5	5	4	5	5	5	5
5	5	5	5	5	5	4	5	5	5	5	5	5	5	5	4	5	4	5	5	5	5	5
5	5	3	4	3	3	4	5	3	3	1	3	3	2	2	5	5	2	3	1	1	1	1
4	3	4	4	4	4	4	5	5	4	4	4	4	4	5	3	3	3	4	5	5	5	4
5	3	5	4	5	4	4	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
5	3	4	4	4	5	3	4	4	4	3	3	3	4	4	3	3	5	3	4	3	3	5
4	3	5	3	4	3	3	5	4	4	2	5	3	4	5	5	5	4	5	5	5	5	5
4	4	5	4	3	4	5	5	5	5	4	5	5	3	3	4	5	4	4	5	5	5	5
3	3	3	3	3	3	3	4	4	4	4	4	4	4	4	3	3	4	3	3	5	5	5
5	3	4	3	3	1	5	5	5	2	2	3	2	1	1	3	3	3	1	1	1	1	1
5	3	3	4	4	4	4	5	5	4	4	4	4	4	3	5	5	4	5	4	5	5	5
4	3	4	4	3	3	3	5	4	4	4	5	5	5	5	4	2	1	4	4	3	3	3
5	5	3	3	4	4	4	4	5	4	3	3	4	4	4	3	4	4	3	3	3	4	3
5	4	5	4	5	4	2	2	3	4	3	4	5	5	4	5	5	3	4	5	5	5	5
